SOI,Subsystem,Assembly
catapultSystem,catapultBodyAssembly,catapultBody
catapultSystem,catapultBodyAssembly,quadrantElevationMeasurementSystem
catapultSystem,catapultBodyAssembly,stoppingPin
catapultSystem,fasteners,basePlateScrew1
catapultSystem,fasteners,basePlateScrew2
catapultSystem,fasteners,basePlateScrew3
catapultSystem,fasteners,basePlateScrew4
catapultSystem,fasteners,basePlateToPulleyArmScrew1
catapultSystem,fasteners,basePlateToPulleyArmScrew2
catapultSystem,fasteners,bodyToPulleyArmScrew1
catapultSystem,fasteners,projectileHolderWingnut
catapultSystem,fasteners,rubberBandRingWingnut
catapultSystem,launchArmAssembly,launchArm
catapultSystem,launchArmAssembly,launchArmPin
catapultSystem,launchArmAssembly,projectileHolderAssembly
catapultSystem,launchArmAssembly,quadrantElevationIndicator
catapultSystem,launchArmAssembly,rubberBandRing
catapultSystem,launchArmAssembly,stoppingSquare
catapultSystem,pulleyArmAssembly,pulleyArm
catapultSystem,pulleyArmAssembly,pulleyPin
catapultSystem,pulleyArmAssembly,rubberBandPlug
