SOI,SystemFunction,SubFunction,SubSubFunction
catapultSystem,launchProjectile,accelerateProjectile,releaseEnergy
catapultSystem,launchProjectile,accelerateProjectile,translateToKineticEnergy
catapultSystem,launchProjectile,accelerateProjectile,storePotentialEnergy
catapultSystem,launchProjectile,accelerateProjectile,maintainPotentialEnergy
catapultSystem,launchProjectile,acceptProjectile,secureProjectile
catapultSystem,launchProjectile,acceptProjectile,releaseProjectile
catapultSystem,launchProjectile,acceptProjectile,provideStorageForProjectile
catapultSystem,launchProjectile,acceptTeamInput,accept_SupplyEnergy
catapultSystem,launchProjectile,acceptTeamInput,acceptAimingInput
catapultSystem,launchProjectile,acceptTeamInput,acceptMaintenance
