SOI,Subsystem,Assembly,Component
catapultSystem,basePlate,catapultBody,towingInterface
catapultSystem,basePlate,catapultBodyAssembly,catapultBody
catapultSystem,basePlate,catapultBodyAssembly,quadrantElevationMeasurementSystem
catapultSystem,basePlate,catapultBodyAssembly,stoppingPin
catapultSystem,basePlate,fasteners,basePlateScrew1
catapultSystem,basePlate,fasteners,basePlateScrew2
catapultSystem,basePlate,fasteners,basePlateScrew3
catapultSystem,basePlate,fasteners,basePlateScrew4
catapultSystem,basePlate,fasteners,basePlateToPulleyArmScrew1
catapultSystem,basePlate,fasteners,basePlateToPulleyArmScrew2
catapultSystem,basePlate,fasteners,bodyToPulleyArmScrew1
catapultSystem,basePlate,fasteners,projectileHolderWingnut
catapultSystem,basePlate,fasteners,rubberBandRingWingnut
catapultSystem,basePlate,launchArmAssembly,launchArm
catapultSystem,basePlate,launchArmAssembly,launchArmPin
catapultSystem,basePlate,launchArmAssembly,projectileHolderAssembly
catapultSystem,basePlate,launchArmAssembly,quadrantElevationIndicator
catapultSystem,basePlate,launchArmAssembly,rubberBandRing
catapultSystem,basePlate,launchArmAssembly,stoppingSquare
catapultSystem,basePlate,projectileHolderAssembly,projectileHolder
catapultSystem,basePlate,projectileHolderAssembly,projectileHolderScrew
catapultSystem,basePlate,pulleyArmAssembly,pulleyArm
catapultSystem,basePlate,pulleyArmAssembly,pulleyPin
catapultSystem,basePlate,pulleyArmAssembly,rubberBandPlug
catapultSystem,basePlate,catapultSystem,basePlate
catapultSystem,basePlate,catapultSystem,catapultBodyAssembly
catapultSystem,basePlate,catapultSystem,fasteners
catapultSystem,basePlate,catapultSystem,launchArmAssembly
catapultSystem,basePlate,catapultSystem,pulleyArmAssembly
catapultSystem,basePlate,catapultSystem,rubberBand
catapultSystem,basePlate,catapultEnvironment,catapultSystem
catapultSystem,basePlate,catapultMission,competingTeams
catapultSystem,basePlate,catapultMission,director
catapultSystem,basePlate,catapultMission,integratedProductTeam
catapultSystem,basePlate,catapultMission,judge
catapultSystem,basePlate,catapultMission,projectile
catapultSystem,basePlate,catapultMission,target
catapultSystem,catapultBodyAssembly,catapultBody,towingInterface
catapultSystem,catapultBodyAssembly,quadrantElevationMeasurementSystem,
catapultSystem,catapultBodyAssembly,stoppingPin,
catapultSystem,fasteners,basePlateScrew1,
catapultSystem,fasteners,basePlateScrew2,
catapultSystem,fasteners,basePlateScrew3,
catapultSystem,fasteners,basePlateScrew4,
catapultSystem,fasteners,basePlateToPulleyArmScrew1,
catapultSystem,fasteners,basePlateToPulleyArmScrew2,
catapultSystem,fasteners,bodyToPulleyArmScrew1,
catapultSystem,fasteners,projectileHolderWingnut,
catapultSystem,fasteners,rubberBandRingWingnut,
catapultSystem,launchArmAssembly,launchArm,
catapultSystem,launchArmAssembly,launchArmPin,
catapultSystem,launchArmAssembly,projectileHolderAssembly,projectileHolder
catapultSystem,launchArmAssembly,projectileHolderAssembly,projectileHolderScrew
catapultSystem,launchArmAssembly,quadrantElevationIndicator,
catapultSystem,launchArmAssembly,rubberBandRing,
catapultSystem,launchArmAssembly,stoppingSquare,
catapultSystem,pulleyArmAssembly,pulleyArm,
catapultSystem,pulleyArmAssembly,pulleyPin,
catapultSystem,pulleyArmAssembly,rubberBandPlug,
catapultSystem,rubberBand,catapultBody,towingInterface
catapultSystem,rubberBand,catapultBodyAssembly,catapultBody
catapultSystem,rubberBand,catapultBodyAssembly,quadrantElevationMeasurementSystem
catapultSystem,rubberBand,catapultBodyAssembly,stoppingPin
catapultSystem,rubberBand,fasteners,basePlateScrew1
catapultSystem,rubberBand,fasteners,basePlateScrew2
catapultSystem,rubberBand,fasteners,basePlateScrew3
catapultSystem,rubberBand,fasteners,basePlateScrew4
catapultSystem,rubberBand,fasteners,basePlateToPulleyArmScrew1
catapultSystem,rubberBand,fasteners,basePlateToPulleyArmScrew2
catapultSystem,rubberBand,fasteners,bodyToPulleyArmScrew1
catapultSystem,rubberBand,fasteners,projectileHolderWingnut
catapultSystem,rubberBand,fasteners,rubberBandRingWingnut
catapultSystem,rubberBand,launchArmAssembly,launchArm
catapultSystem,rubberBand,launchArmAssembly,launchArmPin
catapultSystem,rubberBand,launchArmAssembly,projectileHolderAssembly
catapultSystem,rubberBand,launchArmAssembly,quadrantElevationIndicator
catapultSystem,rubberBand,launchArmAssembly,rubberBandRing
catapultSystem,rubberBand,launchArmAssembly,stoppingSquare
catapultSystem,rubberBand,projectileHolderAssembly,projectileHolder
catapultSystem,rubberBand,projectileHolderAssembly,projectileHolderScrew
catapultSystem,rubberBand,pulleyArmAssembly,pulleyArm
catapultSystem,rubberBand,pulleyArmAssembly,pulleyPin
catapultSystem,rubberBand,pulleyArmAssembly,rubberBandPlug
catapultSystem,rubberBand,catapultSystem,basePlate
catapultSystem,rubberBand,catapultSystem,catapultBodyAssembly
catapultSystem,rubberBand,catapultSystem,fasteners
catapultSystem,rubberBand,catapultSystem,launchArmAssembly
catapultSystem,rubberBand,catapultSystem,pulleyArmAssembly
catapultSystem,rubberBand,catapultSystem,rubberBand
catapultSystem,rubberBand,catapultEnvironment,catapultSystem
catapultSystem,rubberBand,catapultMission,competingTeams
catapultSystem,rubberBand,catapultMission,director
catapultSystem,rubberBand,catapultMission,integratedProductTeam
catapultSystem,rubberBand,catapultMission,judge
catapultSystem,rubberBand,catapultMission,projectile
catapultSystem,rubberBand,catapultMission,target
